Time	Color	Edge	Label	
1	Blue	111;166	(111,166)
1	Blue	67;166	(67,166)
1	Blue	11;166	(11,166)
1	Blue	58;116	(58,116)
1	Blue	22;58	(22,58)
1	Blue	58;233	(58,233)
2	Blue	111;166	(111,166)
2	Blue	111;122	(111,122)
2	Blue	122;215	(122,215)
2	Blue	39;122	(39,122)
2	Blue	89;111	(89,111)
2	Blue	89;217	(89,217)
2	Blue	67;166	(67,166)
2	Blue	166;183	(166,183)
2	Blue	122;166	(122,166)
2	Blue	67;135	(67,135)
2	Blue	11;166	(11,166)
2	Blue	11;135	(11,135)
2	Blue	135;235	(135,235)
2	Blue	11;155	(11,155)
2	Blue	88;155	(88,155)
2	Blue	155;170	(155,170)
2	Blue	58;116	(58,116)
2	Blue	44;116	(44,116)
2	Blue	44;46	(44,46)
2	Blue	44;239	(44,239)
2	Blue	116;219	(116,219)
2	Blue	22;219	(22,219)
2	Blue	74;219	(74,219)
2	Blue	22;58	(22,58)
2	Blue	22;41	(22,41)
2	Blue	41;233	(41,233)
2	Blue	41;222	(41,222)
2	Blue	58;233	(58,233)
2	Blue	41;58	(41,58)
2	Blue	58;127	(58,127)
3	Blue	111;166	(111,166)
3	Blue	111;122	(111,122)
3	Blue	215;248	(215,248)
3	Blue	117;234	(117,234)
3	Blue	33;198	(33,198)
3	Blue	33;228	(33,228)
3	Blue	89;111	(89,111)
3	Blue	111;161	(111,161)
3	Blue	23;161	(23,161)
3	Blue	23;162	(23,162)
3	Blue	234;248	(234,248)
3	Blue	161;248	(161,248)
3	Blue	89;217	(89,217)
3	Blue	154;182	(154,182)
3	Blue	24;182	(24,182)
3	Blue	24;217	(24,217)
3	Blue	144;217	(144,217)
3	Blue	67;166	(67,166)
3	Blue	15;183	(15,183)
3	Blue	174;217	(174,217)
3	Blue	166;183	(166,183)
3	Blue	122;215	(122,215)
3	Blue	111;215	(111,215)
3	Blue	33;160	(33,160)
3	Blue	160;215	(160,215)
3	Blue	135;166	(135,166)
3	Blue	67;135	(67,135)
3	Blue	11;135	(11,135)
3	Blue	11;122	(11,122)
3	Blue	111;162	(111,162)
3	Blue	135;235	(135,235)
3	Blue	88;235	(88,235)
3	Blue	11;88	(11,88)
3	Blue	61;235	(61,235)
3	Blue	61;82	(61,82)
3	Blue	15;82	(15,82)
3	Blue	82;135	(82,135)
3	Blue	6;61	(6,61)
3	Blue	6;53	(6,53)
3	Blue	6;167	(6,167)
3	Blue	11;155	(11,155)
3	Blue	88;155	(88,155)
3	Blue	33;170	(33,170)
3	Blue	67;155	(67,155)
3	Blue	67;88	(67,88)
3	Blue	15;174	(15,174)
3	Blue	155;170	(155,170)
3	Blue	122;170	(122,170)
3	Blue	39;122	(39,122)
3	Blue	39;160	(39,160)
3	Blue	39;135	(39,135)
3	Blue	11;170	(11,170)
3	Blue	11;166	(11,166)
3	Blue	122;166	(122,166)
3	Blue	162;166	(162,166)
3	Blue	15;67	(15,67)
3	Blue	11;67	(11,67)
3	Blue	58;116	(58,116)
3	Blue	44;116	(44,116)
3	Blue	44;46	(44,46)
3	Blue	46;104	(46,104)
3	Blue	104;201	(104,201)
3	Blue	201;204	(201,204)
3	Blue	46;75	(46,75)
3	Blue	46;231	(46,231)
3	Blue	65;104	(65,104)
3	Blue	65;75	(65,75)
3	Blue	130;239	(130,239)
3	Blue	59;239	(59,239)
3	Blue	44;239	(44,239)
3	Blue	59;242	(59,242)
3	Blue	199;242	(199,242)
3	Blue	118;242	(118,242)
3	Blue	116;219	(116,219)
3	Blue	22;219	(22,219)
3	Blue	49;60	(49,60)
3	Blue	74;225	(74,225)
3	Blue	152;239	(152,239)
3	Blue	152;225	(152,225)
3	Blue	118;184	(118,184)
3	Blue	118;225	(118,225)
3	Blue	74;130	(74,130)
3	Blue	222;249	(222,249)
3	Blue	22;58	(22,58)
3	Blue	22;41	(22,41)
3	Blue	41;233	(41,233)
3	Blue	41;45	(41,45)
3	Blue	18;45	(18,45)
3	Blue	45;233	(45,233)
3	Blue	4;222	(4,222)
3	Blue	238;243	(238,243)
3	Blue	4;238	(4,238)
3	Blue	142;221	(142,221)
3	Blue	49;243	(49,243)
3	Blue	58;233	(58,233)
3	Blue	41;58	(41,58)
3	Blue	58;219	(58,219)
3	Blue	74;219	(74,219)
3	Blue	219;249	(219,249)
3	Blue	41;222	(41,222)
3	Blue	143;222	(143,222)
3	Blue	142;143	(142,143)
3	Blue	143;243	(143,243)
3	Blue	222;230	(222,230)
3	Blue	45;230	(45,230)
3	Blue	4;230	(4,230)
3	Blue	58;127	(58,127)
3	Blue	127;141	(127,141)
3	Blue	141;146	(141,146)
3	Blue	146;196	(146,196)
3	Blue	146;231	(146,231)
3	Blue	116;127	(116,127)
3	Blue	127;233	(127,233)
3	Blue	22;243	(22,243)
3	Blue	22;116	(22,116)
4	Blue	111;166	(111,166)
4	Blue	111;122	(111,122)
4	Blue	215;248	(215,248)
4	Blue	117;234	(117,234)
4	Blue	117;237	(117,237)
4	Blue	23;217	(23,217)
4	Blue	139;248	(139,248)
4	Blue	33;198	(33,198)
4	Blue	108;198	(108,198)
4	Blue	30;228	(30,228)
4	Blue	89;111	(89,111)
4	Blue	111;161	(111,161)
4	Blue	23;161	(23,161)
4	Blue	234;248	(234,248)
4	Blue	228;234	(228,234)
4	Blue	161;248	(161,248)
4	Blue	78;161	(78,161)
4	Blue	154;182	(154,182)
4	Blue	154;191	(154,191)
4	Blue	24;182	(24,182)
4	Blue	24;217	(24,217)
4	Blue	24;73	(24,73)
4	Blue	14;144	(14,144)
4	Blue	67;166	(67,166)
4	Blue	15;183	(15,183)
4	Blue	174;217	(174,217)
4	Blue	144;217	(144,217)
4	Blue	89;217	(89,217)
4	Blue	166;183	(166,183)
4	Blue	122;215	(122,215)
4	Blue	33;160	(33,160)
4	Blue	111;215	(111,215)
4	Blue	215;228	(215,228)
4	Blue	183;235	(183,235)
4	Blue	67;135	(67,135)
4	Blue	11;135	(11,135)
4	Blue	11;122	(11,122)
4	Blue	3;39	(3,39)
4	Blue	111;162	(111,162)
4	Blue	135;235	(135,235)
4	Blue	88;235	(88,235)
4	Blue	11;88	(11,88)
4	Blue	61;235	(61,235)
4	Blue	61;82	(61,82)
4	Blue	15;82	(15,82)
4	Blue	82;135	(82,135)
4	Blue	6;61	(6,61)
4	Blue	6;53	(6,53)
4	Blue	53;72	(53,72)
4	Blue	53;54	(53,54)
4	Blue	54;167	(54,167)
4	Blue	6;167	(6,167)
4	Blue	11;155	(11,155)
4	Blue	88;155	(88,155)
4	Blue	33;228	(33,228)
4	Blue	33;170	(33,170)
4	Blue	67;155	(67,155)
4	Blue	154;174	(154,174)
4	Blue	67;88	(67,88)
4	Blue	155;170	(155,170)
4	Blue	39;122	(39,122)
4	Blue	160;215	(160,215)
4	Blue	39;160	(39,160)
4	Blue	135;166	(135,166)
4	Blue	39;135	(39,135)
4	Blue	11;170	(11,170)
4	Blue	11;166	(11,166)
4	Blue	122;166	(122,166)
4	Blue	122;170	(122,170)
4	Blue	162;166	(162,166)
4	Blue	23;162	(23,162)
4	Blue	15;67	(15,67)
4	Blue	15;174	(15,174)
4	Blue	15;54	(15,54)
4	Blue	11;67	(11,67)
4	Blue	11;111	(11,111)
4	Blue	58;116	(58,116)
4	Blue	44;116	(44,116)
4	Blue	44;46	(44,46)
4	Blue	46;104	(46,104)
4	Blue	104;201	(104,201)
4	Blue	201;204	(201,204)
4	Blue	32;204	(32,204)
4	Blue	46;75	(46,75)
4	Blue	65;104	(65,104)
4	Blue	65;75	(65,75)
4	Blue	75;86	(75,86)
4	Blue	130;239	(130,239)
4	Blue	59;239	(59,239)
4	Blue	59;219	(59,219)
4	Blue	44;219	(44,219)
4	Blue	59;242	(59,242)
4	Blue	199;242	(199,242)
4	Blue	32;199	(32,199)
4	Blue	199;201	(199,201)
4	Blue	118;242	(118,242)
4	Blue	116;219	(116,219)
4	Blue	22;219	(22,219)
4	Blue	49;60	(49,60)
4	Blue	60;140	(60,140)
4	Blue	60;222	(60,222)
4	Blue	74;225	(74,225)
4	Blue	152;239	(152,239)
4	Blue	44;239	(44,239)
4	Blue	104;239	(104,239)
4	Blue	152;225	(152,225)
4	Blue	118;184	(118,184)
4	Blue	91;184	(91,184)
4	Blue	29;184	(29,184)
4	Blue	118;225	(118,225)
4	Blue	26;225	(26,225)
4	Blue	46;130	(46,130)
4	Blue	222;249	(222,249)
4	Blue	22;58	(22,58)
4	Blue	22;41	(22,41)
4	Blue	41;233	(41,233)
4	Blue	41;45	(41,45)
4	Blue	41;55	(41,55)
4	Blue	18;230	(18,230)
4	Blue	18;207	(18,207)
4	Blue	44;127	(44,127)
4	Blue	4;222	(4,222)
4	Blue	238;243	(238,243)
4	Blue	142;221	(142,221)
4	Blue	143;221	(143,221)
4	Blue	188;221	(188,221)
4	Blue	60;143	(60,143)
4	Blue	49;243	(49,243)
4	Blue	49;192	(49,192)
4	Blue	22;222	(22,222)
4	Blue	58;233	(58,233)
4	Blue	41;58	(41,58)
4	Blue	58;219	(58,219)
4	Blue	74;219	(74,219)
4	Blue	74;130	(74,130)
4	Blue	74;211	(74,211)
4	Blue	219;249	(219,249)
4	Blue	211;249	(211,249)
4	Blue	41;222	(41,222)
4	Blue	143;222	(143,222)
4	Blue	142;143	(142,143)
4	Blue	142;178	(142,178)
4	Blue	222;230	(222,230)
4	Blue	18;45	(18,45)
4	Blue	45;230	(45,230)
4	Blue	4;230	(4,230)
4	Blue	4;238	(4,238)
4	Blue	4;249	(4,249)
4	Blue	58;127	(58,127)
4	Blue	127;141	(127,141)
4	Blue	141;146	(141,146)
4	Blue	146;196	(146,196)
4	Blue	86;196	(86,196)
4	Blue	146;231	(146,231)
4	Blue	158;231	(158,231)
4	Blue	46;231	(46,231)
4	Blue	116;127	(116,127)
4	Blue	127;233	(127,233)
4	Blue	45;233	(45,233)
4	Blue	221;233	(221,233)
4	Blue	22;243	(22,243)
4	Blue	143;243	(143,243)
4	Blue	22;116	(22,116)
4	Blue	75;116	(75,116)
5	Blue	111;166	(111,166)
5	Blue	111;122	(111,122)
5	Blue	215;248	(215,248)
5	Blue	117;234	(117,234)
5	Blue	33;198	(33,198)
5	Blue	33;228	(33,228)
5	Blue	89;111	(89,111)
5	Blue	111;161	(111,161)
5	Blue	23;161	(23,161)
5	Blue	23;162	(23,162)
5	Blue	234;248	(234,248)
5	Blue	161;248	(161,248)
5	Blue	89;217	(89,217)
5	Blue	154;182	(154,182)
5	Blue	24;182	(24,182)
5	Blue	24;217	(24,217)
5	Blue	144;217	(144,217)
5	Blue	67;166	(67,166)
5	Blue	15;183	(15,183)
5	Blue	174;217	(174,217)
5	Blue	166;183	(166,183)
5	Blue	122;215	(122,215)
5	Blue	111;215	(111,215)
5	Blue	33;160	(33,160)
5	Blue	160;215	(160,215)
5	Blue	135;166	(135,166)
5	Blue	67;135	(67,135)
5	Blue	11;135	(11,135)
5	Blue	11;122	(11,122)
5	Blue	111;162	(111,162)
5	Blue	135;235	(135,235)
5	Blue	88;235	(88,235)
5	Blue	11;88	(11,88)
5	Blue	61;235	(61,235)
5	Blue	61;82	(61,82)
5	Blue	15;82	(15,82)
5	Blue	82;135	(82,135)
5	Blue	6;61	(6,61)
5	Blue	6;53	(6,53)
5	Blue	6;167	(6,167)
5	Blue	11;155	(11,155)
5	Blue	88;155	(88,155)
5	Blue	33;170	(33,170)
5	Blue	67;155	(67,155)
5	Blue	67;88	(67,88)
5	Blue	15;174	(15,174)
5	Blue	155;170	(155,170)
5	Blue	122;170	(122,170)
5	Blue	39;122	(39,122)
5	Blue	39;160	(39,160)
5	Blue	39;135	(39,135)
5	Blue	11;170	(11,170)
5	Blue	11;166	(11,166)
5	Blue	122;166	(122,166)
5	Blue	162;166	(162,166)
5	Blue	15;67	(15,67)
5	Blue	11;67	(11,67)
5	Blue	58;116	(58,116)
5	Blue	44;116	(44,116)
5	Blue	44;46	(44,46)
5	Blue	46;104	(46,104)
5	Blue	104;201	(104,201)
5	Blue	201;204	(201,204)
5	Blue	46;75	(46,75)
5	Blue	46;231	(46,231)
5	Blue	65;104	(65,104)
5	Blue	65;75	(65,75)
5	Blue	130;239	(130,239)
5	Blue	59;239	(59,239)
5	Blue	44;239	(44,239)
5	Blue	59;242	(59,242)
5	Blue	199;242	(199,242)
5	Blue	118;242	(118,242)
5	Blue	116;219	(116,219)
5	Blue	22;219	(22,219)
5	Blue	49;60	(49,60)
5	Blue	74;225	(74,225)
5	Blue	152;239	(152,239)
5	Blue	152;225	(152,225)
5	Blue	118;184	(118,184)
5	Blue	118;225	(118,225)
5	Blue	74;130	(74,130)
5	Blue	222;249	(222,249)
5	Blue	22;58	(22,58)
5	Blue	22;41	(22,41)
5	Blue	41;233	(41,233)
5	Blue	41;45	(41,45)
5	Blue	18;45	(18,45)
5	Blue	45;233	(45,233)
