Time	Color	Edge	Label	
0	Blue	153;164	(153,164)
1	Blue	153;158	(153,158)
1	Blue	153;164	(153,164)
2	Blue	151;164	(151,164)
2	Blue	170;171	(170,171)
2	Blue	150;164	(150,164)
2	Blue	173;174	(173,174)
2	Blue	149;155	(149,155)
2	Blue	158;174	(158,174)
2	Blue	44;61	(44,61)
2	Blue	77;110	(77,110)
2	Blue	154;167	(154,167)
2	Blue	163;173	(163,173)
3	Blue	151;164	(151,164)
3	Blue	30;33	(30,33)
3	Blue	156;158	(156,158)
3	Blue	23;74	(23,74)
3	Blue	163;173	(163,173)
3	Blue	42;71	(42,71)
3	Blue	158;174	(158,174)
3	Blue	8;21	(8,21)
3	Blue	149;157	(149,157)
3	Blue	44;61	(44,61)
3	Blue	8;70	(8,70)
3	Blue	62;70	(62,70)
4	Blue	42;71	(42,71)
4	Blue	163;173	(163,173)
4	Blue	8;21	(8,21)
4	Blue	62;70	(62,70)
5	Blue	42;71	(42,71)
5	Blue	30;33	(30,33)
5	Blue	163;173	(163,173)
5	Blue	62;70	(62,70)
6	Blue	11;74	(11,74)
6	Blue	8;45	(8,45)
6	Blue	41;47	(41,47)
6	Blue	42;71	(42,71)
6	Blue	70;74	(70,74)
6	Blue	8;21	(8,21)
6	Blue	149;157	(149,157)
6	Blue	14;47	(14,47)
6	Blue	153;174	(153,174)
6	Blue	11;45	(11,45)
6	Blue	45;74	(45,74)
6	Blue	164;171	(164,171)
6	Blue	62;70	(62,70)
7	Blue	30;33	(30,33)
7	Blue	158;162	(158,162)
7	Blue	8;45	(8,45)
7	Blue	156;158	(156,158)
7	Blue	23;74	(23,74)
7	Blue	41;47	(41,47)
7	Blue	42;71	(42,71)
7	Blue	163;173	(163,173)
7	Blue	149;157	(149,157)
7	Blue	152;168	(152,168)
7	Blue	14;47	(14,47)
7	Blue	40;71	(40,71)
7	Blue	153;174	(153,174)
7	Blue	158;174	(158,174)
7	Blue	11;45	(11,45)
8	Blue	152;168	(152,168)
8	Blue	156;158	(156,158)
8	Blue	23;74	(23,74)
8	Blue	41;47	(41,47)
8	Blue	42;71	(42,71)
8	Blue	173;174	(173,174)
8	Blue	163;173	(163,173)
8	Blue	62;70	(62,70)
8	Blue	153;174	(153,174)
8	Blue	168;177	(168,177)
8	Blue	160;168	(160,168)
8	Blue	155;169	(155,169)
8	Blue	11;45	(11,45)
9	Blue	167;175	(167,175)
9	Blue	23;74	(23,74)
9	Blue	41;47	(41,47)
9	Blue	42;71	(42,71)
9	Blue	149;157	(149,157)
9	Blue	149;158	(149,158)
9	Blue	173;174	(173,174)
9	Blue	153;174	(153,174)
9	Blue	168;177	(168,177)
9	Blue	11;45	(11,45)
9	Blue	62;70	(62,70)
10	Blue	23;74	(23,74)
10	Blue	163;173	(163,173)
10	Blue	42;71	(42,71)
10	Blue	41;47	(41,47)
10	Blue	8;21	(8,21)
10	Blue	149;158	(149,158)
10	Blue	40;71	(40,71)
10	Blue	168;177	(168,177)
10	Blue	14;41	(14,41)
10	Blue	11;45	(11,45)
10	Blue	62;70	(62,70)
11	Blue	160;168	(160,168)
11	Blue	8;45	(8,45)
11	Blue	156;158	(156,158)
11	Blue	170;177	(170,177)
11	Blue	163;173	(163,173)
11	Blue	42;71	(42,71)
11	Blue	158;162	(158,162)
11	Blue	168;177	(168,177)
11	Blue	152;168	(152,168)
11	Blue	150;171	(150,171)
11	Blue	155;169	(155,169)
11	Blue	62;70	(62,70)
12	Blue	7;68	(7,68)
12	Blue	152;168	(152,168)
12	Blue	167;175	(167,175)
12	Blue	163;173	(163,173)
12	Blue	42;71	(42,71)
12	Blue	0;7	(0,7)
12	Blue	149;158	(149,158)
